Name,Price,MRP,Disc_Per,Rating,Reviews,Discount_Price
Campus SYRUS Blue  Men's Sports Running Shoes,927.0,1699.0,0.45,4.3,431.0,772.0
Hotspot Green Men's Sports Running Shoes,543.0,2249.0,0.76,3.8,19.0,1706.0
Campus OSLO PRO White  Men's Sports Running Shoes,943.0,1499.0,0.37,4.1,796.0,556.0
ASIAN TITAAN-02 White Men's Sports Running Shoes,732.0,1999.0,0.63,4.3,55.0,1267.0
Campus - FLASH NEW Blue Men's Sports Running Shoes,852.0,2299.0,0.63,4.2,110.0,1447.0
OFF LIMITS STUSSY Tan Men's Sports Running Shoes,1081.0,3699.0,0.71,3.9,727.0,2618.0
JK Port Sports Shoes for men White Men's Sports Running Shoes,686.0,2999.0,0.77,4.1,806.0,2313.0
Campus HURRICANE Navy Men's Sports Running Shoes,827.0,1699.0,0.51,4.4,1507.0,872.0
Bersache White Men's Sports Running Shoes,772.0,4999.0,0.85,4.1,337.0,4227.0
ASIAN  Red  Men's Sports Running Shoes,854.0,1999.0,0.57,4.2,2867.0,1145.0
Bersache Red Men's Sports Running Shoes,730.0,4999.0,0.85,4.2,148.0,4269.0
ASIAN POWERPLAY-03 Navy Men's Sports Running Shoes,830.0,2499.0,0.67,4.2,198.0,1669.0
Clymb Green Men's Sports Running Shoes,533.0,1900.0,0.72,3.9,239.0,1367.0
JK Port Sports Shoes for men Blue Men's Sports Running Shoes,686.0,2999.0,0.77,4.1,806.0,2313.0
ASIAN WONDER-13 Gray Men's Sports Running Shoes,576.0,999.0,0.42,4.0,1019.0,423.0
Campus CAMP KARL White Men's Sports Running Shoes,807.0,1599.0,0.5,4.3,215.0,792.0
Bersache Blue Men's Sports Running Shoes,994.0,4999.0,0.8,4.2,155.0,4005.0
ASIAN DOMINATOR-01 Cream Men's Sports Running Shoes,841.0,2499.0,0.66,4.3,91.0,1658.0
ASIAN EXPRESS-10 Black Men's Sports Running Shoes,618.0,1499.0,0.59,4.2,1170.0,881.0
SCHOOZI Kizzer-11 Navy Men's Sports Running Shoes,607.0,2999.0,0.8,4.1,74.0,2392.0
Bersache Gray Men's Sports Running Shoes,772.0,4999.0,0.85,4.1,337.0,4227.0
ASIAN AIRWEAVE-02 White Men's Sports Running Shoes,1071.0,2849.0,0.62,4.3,611.0,1778.0
Campus PATRIK PRO Grey Men's Sports Running Shoes,779.0,1399.0,0.44,4.3,162.0,620.0
Aqualite Black Men's Sports Running Shoes,1299.0,1799.0,0.28,4.3,6.0,500.0
ASIAN WIND PRO-06 Black Men's Sports Running Shoes,700.0,1799.0,0.61,4.3,233.0,1099.0
ASIAN SUPERWALK-19 Dark Grey Men's Sports Running Shoes,575.0,1299.0,0.56,4.2,248.0,724.0
OZJI Blue Men's Sports Running Shoes,546.0,2299.0,0.76,3.9,43.0,1753.0
Campus PIVOT Navy Men's Sports Running Shoes,925.0,2499.0,0.63,4.4,353.0,1574.0
Aqualite Black Men's Sports Running Shoes,1089.0,1799.0,0.39,4.2,5.0,710.0
SCHOOZI Kizzer-11 Olive Men's Sports Running Shoes,607.0,2999.0,0.8,4.1,74.0,2392.0
ASIAN RAFTAAR-13 Dark Grey Men's Sports Running Shoes,683.0,1799.0,0.62,4.2,148.0,1116.0
ASIAN TITAAN-03 Light Grey Men's Sports Running Shoes,732.0,1999.0,0.63,4.3,137.0,1267.0
Campus PLUNGE Tan Men's Sports Running Shoes,841.0,1999.0,0.58,4.6,20.0,1158.0
Clymb Olive Men's Sports Running Shoes,533.0,999.0,0.47,4.1,1327.0,466.0
OFF LIMITS ROGER Green Men's Sports Running Shoes,695.0,2499.0,0.72,4.3,87.0,1804.0
Campus WISDOM Grey Men's Sports Running Shoes,759.0,1599.0,0.53,4.3,317.0,840.0
Campus TROPHY White  Men's Sports Running Shoes,841.0,1499.0,0.44,4.2,750.0,658.0
Campus BRAZIL ADV PRO Navy  Men's Sports Running Shoes,815.0,2299.0,0.65,4.2,290.0,1484.0
VCTR Performance PF01 Blue Men's Sports Running Shoes,702.0,2999.0,0.77,4.4,62.0,2297.0
Campus FIRST Black  Men's Sports Running Shoes,943.0,1899.0,0.5,4.1,738.0,956.0
Campus BRAIL PRO Light Grey Men's Sports Running Shoes,891.0,2499.0,0.64,4.0,52.0,1608.0
Clymb Sports Gray Men's Sports Running Shoes,456.0,1499.0,0.7,3.7,12.0,1043.0
Campus ARTEMIS Grey Men's Sports Running Shoes,963.0,1899.0,0.49,4.3,297.0,936.0
ASIAN WIND-04 Green Men's Sports Running Shoes,603.0,1299.0,0.54,4.2,1159.0,696.0
Campus STRUT Black Men's Sports Running Shoes,1080.0,2999.0,0.64,4.4,238.0,1919.0
PENNEN Black Men's Sports Running Shoes,360.0,999.0,0.64,4.0,10.0,639.0
Campus SUMMIT Navy Blue Men's Sports Running Shoes,894.0,2599.0,0.66,4.3,142.0,1705.0
ASIAN THAR-01 Blue Men's Sports Running Shoes,629.0,1249.0,0.5,4.2,1601.0,620.0
Campus SNIPER NAVY Men's Sports Running Shoes,809.0,1949.0,0.58,4.3,163.0,1140.0
ASIAN Blue Men's Sports Running Shoes,579.0,999.0,0.42,4.0,7245.0,420.0
Campus NORTH PLUS Red Men's Sports Running Shoes,943.0,1899.0,0.5,4.2,1980.0,956.0
ASIAN White Men's Sports Running Shoes,592.0,999.0,0.41,4.1,16708.0,407.0
